epoch,train_loss,train_fid,val_fid,train_precision,train_recall,val_precision,val_recall,sample_dir,train_fid_json_path,val_fid_json_path,shared_fid_generated_dir,checkpoint_path,diffusers_model_index_copy_path
10,0.0094558195198307,219.8594665527344,,0.20703125,0.0,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_010,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_010_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_010_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
20,0.0082922738179033,201.0681915283203,,0.2705078125,0.0,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_020,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_020_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_020_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
30,0.0078436678032187,142.10232543945312,,0.4921875,0.1015625,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_030,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_030_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_030_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
40,0.0077582919960453,113.99837493896484,,0.6689453125,0.2265625,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_040,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_040_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_040_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
50,0.0080637838549685,150.23236083984375,,0.291015625,0.3701171875,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_050,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_050_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_050_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
60,0.0079401937538745,124.31316375732422,,0.173828125,0.5244140625,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_060,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_060_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_060_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
70,0.007432805304117,104.40843963623048,,0.248046875,0.4345703125,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_070,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_070_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_070_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
80,0.007284304148925,92.6651840209961,,0.2919921875,0.49609375,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_080,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_080_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_080_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
85,0.0074600703082978,92.77600860595705,,0.2841796875,0.544921875,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_085,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_085_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_085_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
90,0.0079151677407655,93.42076110839844,,0.31640625,0.53515625,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_090,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_090_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_090_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
95,0.007578422178108341,88.9748306274414,,0.3759765625,0.2568359375,,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\samples\epoch_095,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid\epoch_095_train_fid.json,,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\fid_generated_images\epoch_095_shared_generated,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\checkpoints\last.pth.tar,experiments\20260403_234720_ddpm_all_all_labels_res128_bs32_seed42\metadata\diffusers_pipeline_model_index.json
